,Current Angular Velocity,Goal Side,Left Observer Detection,Center Observer Detection,Right Observer Detection,Output
380,Straight,Front,Close,Not Detected,Not Detected,Right
381,Straight,Right,Not Detected,Close,Close,Left
382,Straight,Right,Close,Close,Not Detected,Right
383,Straight,Right,Not Detected,Far,Close,Left
384,Straight,Right,Close,Far,Not Detected,Right
385,Straight,Right,Not Detected,Not Detected,Close,Left
386,Straight,Right,Close,Not Detected,Not Detected,Right
387,Straight,Left,Not Detected,Close,Far,Left
388,Straight,Left,Far,Close,Not Detected,Right
389,Straight,Left,Not Detected,Far,Far,Left
390,Straight,Left,Far,Far,Not Detected,Right
391,Straight,Left,Not Detected,Not Detected,Far,Left
392,Straight,Left,Far,Not Detected,Not Detected,Right
393,Straight,Front,Not Detected,Close,Far,Left
394,Straight,Front,Far,Close,Not Detected,Right
395,Straight,Front,Not Detected,Far,Far,Left
396,Straight,Front,Far,Far,Not Detected,Right
397,Straight,Front,Not Detected,Not Detected,Far,Left
398,Straight,Front,Far,Not Detected,Not Detected,Right
399,Straight,Right,Not Detected,Close,Far,Left
400,Straight,Right,Far,Close,Not Detected,Right
401,Straight,Right,Not Detected,Far,Far,Left
402,Straight,Right,Far,Far,Not Detected,Right
403,Straight,Right,Not Detected,Not Detected,Far,Left
404,Straight,Right,Far,Not Detected,Not Detected,Right
